"Nummer";"EAN";"Name";"Einkaufspreis 1";"Endkundenpreis";"Bestand Hauptlager"
"14564";"";"JEFI, Guavasaft, 250ml";;0.79;
"14565";"";"JEFI, Litschisaft, 250ml";;0.79;
"14566";"";"FRISIAN FLAG, Susu Coklat Bendera, 385g";;2.99;
"14567";"";"RUBICON, Manggosaft, 1l";;0.99;
"14568";"";"RUBICON, Litschisaft, 1l";;2.29;
"14569";"";"RUBICON, Guavasaft, 1l";;2.29;
"14570";"";"JEFI, Manggosaft, 250ml";;0.79;
"14571";"";"FRISIAN FLAG, Süsse Kondenmilch, 397g";;2.99;
"14572";"";"NESCAFE, Rich Aroma, 30x19,4g";;8.55;
"14573";"";"WONG COCO, Eiscaffee von Lampung, 250ml";;1.09;
"14574";"";"MILO, Milch mit Schokoladegeschmack, 240ml";;1.29;
"14575";"";"NESTLE, Vollmilchschokolade Milo, 400g";;6.99;
"14576";"";"KEPALA DJENGGOT, Ginseng Tea, 50g";;3.79;
"14577";"";"NESTLE, Vollmilchschokolade Milo, 200g";;3.99;
"14578";"";"TORA BIKA, Cappuccino, 5x20g";;2.99;
"14579";"";"CAP MAWAR PUTIH, Kaffepulver aus Sidikalang, 100g";;3;
"14580";"";"JEFI, Gr";;0.79;
"14581";"";"JEFI, Manggosaft mit Fruchtfleisch 250ml";;0.79;
"14582";"";"JEFI, Litschisaft mit Fruchtfleisch 250ml";;0.69;
"14583";"";"JEFI, Mixed Fruit saft mit Fruchtfleisch 250ml";;0.79;
"14584";"";"JEFI, Kiwi saft mit Fruchtfleisch 250ml";;0.79;
"14585";"";"JEFI, Ingwer saft 250ml";;0.79;
"14587";"";"TORA BIKA Cappuccino, 20 x 25 g";;8.99;
"14588";"";"JEFI, Orangensaft, 250mL";;0.69;
"14589";"";"JEFI, Ananassaft, 250mL";;0.79;
"14590";"";"SUN EXOTIC, Ananas- & Kokosnusssaftgetr";;1.99;
"14591";"";"SIDOMUNCUL, Tolak Angin, 5x15ml";;3.45;
"14592";"";"SIDOMUNCUL, Tolak Angin, 15ml";;0.5;
"14593";"";"CAP BOTOL, Teh Tubruk (curah) Jasmine, 80g";;1.99;
"14594";"";"UPET, Teh Tubruk (curah) Jasmine, 60g";;2.5;
"14595";"";"KAPAL API, Kaffeepulver Special Mix, 5x25g";;2.99;
"14596";"";"KAPAL API, Milchkaffeepulver, 5x31g";;2.99;
"14597";"";"KAPAL API, Kaffeepulver 3 in 1 Grande Java Latte, 5x20g";;1;
"14598";"";"KAPAL API, Kaffeepulver 3 in 1 White Coffee, 12x37g";;4.5;
"14599";"";"KAPAL API, Kaffeepulver Morning Blend, 200g";;2;
"14600";"";"KAPAL API, Kaffeepulver Luwak, 200g";;2;
"14601";"";"KAPAL API, Kaffeepulver Grande White Coffee mit Schoko, 5x20g";;1;
"14602";"";"TORA BIKA, Kaffeepulver 3 in 1, 5x20g";;2.99;
"14603";"";"TORA BIKA, Milchkaffeepulver, 5x28g";;2.99;
"14604";"";"XAMTHONE, Mangostan-Saft, 350 ml";;17;
"14605";"";"KAPAL API, Kaffeepulver 3 in 1 White Coffee, 37g";;0.3;
"14606";"";"KAPAL API, Kaffeepulver Grande White Coffee mit Schoko, 20g";;0.3;
"14607";"";"KAPAL API, Kaffeepulver 3 in 1 Grande Java Latte, 5x20g";;0.3;
"14608";"";"RUBICON, Light & Fruity, Mango, Lime, Mint, 1l";;1.99;
"14609";"";"RUBICON, Papaya, 1l";;1.99;
"14610";"";"RUBICON, Guanabana, 1l";;1.99;
"14611";"";"RUBICON, Pomegranate, 1l";;1.99;
"14612";"";"FOCO, Mangostane Nectar Saft, 350 ml";;1.5;
"14614";"";"HEALTHY BOY BRAND, s";;2.49;
"14616";"";"THAI DANCER, Ingwer in Essig, 100g";;2.59;
"14617";"";"A+, Getrocknete Seetang Yaki Nori, 125 g";;7;
"14618";"";"RAPINDO, Besen Tebah für Matratze";;3.5;
"14619";"";"TRISTAR, Rice Cooker, 0,6l";;20;
"14620";"";"TRISTAR, Rice Cooker, 2,5l";;35.99;
"14621";"";"TRISTAR, Rice Cooker, 1,5l";;20;
"14622";"";"TRISTAR, Reiskocher, 1l";;18;
"14624";"";"RAPINDO, Stein Kugel, Durchmesser 15cm";;7.99;
"14625";"";"RAPINDO, Stein Kugel, Durchmesser 24cm";;10;
"14626";"";"Cendol Sieb, Durchmesser 26 cm";;4.99;
"14629";"";"N/A,\tPukis-Kuchenform, aluminium";;10;
"14630";"";"N/A, Cetakan Tumpeng Normal";;10;
"14631";"";"N/A, Cetakan Tumpeng Bersusun";;12;
"14632";"";"CAP IBU, Padang Chili Paste, 240 g";;3.5;0
"14633";"";"A Trade Mark, Ketjap Manis, 500ml";;2.19;
"14634";"";"ABC, Chilisoße extra Scharf, 340ml";;2.95;
"14635";"";"LEE KUM KEE, Oyster Flavoured sauce, 510g";;3.19;
"14636";"";"LEE KUM KEE, Sesam Öl, 150ml";;2.35;
"14637";"";"RAPINDO, Ketjap Manis, 275ml";;1.75;
"14638";"";"INDOLAN, Tofu Petis Soße, 200g";;2.49;
"14639";"";"INDOLAN, Sambal Kemangie, 375g";;3.99;
"14640";"";"INDOLAN, sambal peteh 200g";;2.49;
"14641";"";"SQUID BRAND, Fisch Sauce, 725ml";;2.69;
"14642";"";"YEO`S, Minyak Wijen, 375ml";;5.48;
"14643";"";"CAP ORANG JUAL SATE, Sojaso";;2.49;
"14644";"";"BANGO, suesse Sojasosse, 135 ml";;1.93;
"14645";"";"ABC, salzige Sojasosse, 135 ml";;1.69;
"14646";"";"THAI DANCER, Tamarind paste 270g";;2.59;
"14647";"";"Flying Goose Brand, Sriracha Chillisauce, 455ml";;2.89;
"14648";"";"KOKITA Scharf Sojaso";;3.5;
"14649";"";"NESIA, Chilipaste Padang, 250 g";;3.59;0
"14651";"";"test";2.1;2.99;0
"14652";"";"SINCERE, Kokosmilch, 400ml";;1.39;
